"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validar dados de usuário com sucesso","270","deveListarUsuarios()","","2026-09-13","passed","2026-09-13","","UserIdTest","UserIdTest","deveListarUsuarios"
"Validar criação de usuário com sucesso","111","deveCriarUsuarioComSucesso()","","2026-09-13","passed","2026-09-13","","usuarios.ModelCriarUsuarioTest","usuarios.ModelCriarUsuarioTest","deveCriarUsuarioComSucesso"
"Validar criação de usuário com sucesso","128","deveCriarUsuarioComSucesso()","","2026-09-13","passed","2026-09-13","","CriarUsuarioMapTest","CriarUsuarioMapTest","deveCriarUsuarioComSucesso"
"Validar criação de usuário com sucesso","111","deveCriarUsuarioComSucesso()","","2026-09-13","passed","2026-09-13","","StringTest","StringTest","deveCriarUsuarioComSucesso"
"","124","deveListarProdutos()","","2026-09-13","passed","2026-09-13","","ProdutosTest","ProdutosTest","deveListarProdutos"
"Validar deleção de usuário com sucesso","233","deveExcluirUsuarioComSucesso()","","2026-09-13","passed","2026-09-13","","usuarios.DeleteTest","usuarios.DeleteTest","deveExcluirUsuarioComSucesso"
"Validar lista de usuários com sucesso","191","deveListarUsuarios()","","2026-09-13","passed","2026-09-13","","UserTest","UserTest","deveListarUsuarios"
"Validar criação de usuário com sucesso","1833","deveCriarUsuarioComSucesso()","","2026-09-13","passed","2026-09-13","","BeforeCriarUsuarioTest","BeforeCriarUsuarioTest","deveCriarUsuarioComSucesso"
"Validar atualização de dados do usuário com sucesso","379","deveAtualizarUsuarioComSucesso()","","2026-09-13","passed","2026-09-13","","usuarios.UpdateTest","usuarios.UpdateTest","deveAtualizarUsuarioComSucesso"
"Validar login de usuário com sucesso","255","deveRealizarLoginComSucesso()","","2026-09-13","passed","2026-09-13","","login.LoginTest","login.LoginTest","deveRealizarLoginComSucesso"
