"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","127","deveListarProdutos()","","2026-09-20","passed","2026-09-20","","ProdutosTest","ProdutosTest","deveListarProdutos"
"Validar dados de usuário com sucesso","174","deveListarUsuarios()","","2026-09-20","passed","2026-09-20","","UserIdTest","UserIdTest","deveListarUsuarios"
"Validar criação de usuário com sucesso","13434","deveCriarUsuarioComSucesso()","","2026-09-20","passed","2026-09-20","","BeforeCriarUsuarioTest","BeforeCriarUsuarioTest","deveCriarUsuarioComSucesso"
"Validar criação de usuário com sucesso","112","deveCriarUsuarioComSucesso()","","2026-09-20","passed","2026-09-20","","StringTest","StringTest","deveCriarUsuarioComSucesso"
"Validar login de usuário com sucesso","462","deveRealizarLoginComSucesso()","","2026-09-20","passed","2026-09-20","","login.LoginTest","login.LoginTest","deveRealizarLoginComSucesso"
"Validar atualização de dados do usuário com sucesso","329","deveAtualizarUsuarioComSucesso()","","2026-09-20","passed","2026-09-20","","usuarios.UpdateTest","usuarios.UpdateTest","deveAtualizarUsuarioComSucesso"
"Validar deleção de usuário com sucesso","241","deveExcluirUsuarioComSucesso()","","2026-09-20","passed","2026-09-20","","usuarios.DeleteTest","usuarios.DeleteTest","deveExcluirUsuarioComSucesso"
"Validar criação de usuário com sucesso","119","deveCriarUsuarioComSucesso()","","2026-09-20","passed","2026-09-20","","usuarios.ModelCriarUsuarioTest","usuarios.ModelCriarUsuarioTest","deveCriarUsuarioComSucesso"
"Validar criação de usuário com sucesso","136","deveCriarUsuarioComSucesso()","","2026-09-20","passed","2026-09-20","","CriarUsuarioMapTest","CriarUsuarioMapTest","deveCriarUsuarioComSucesso"
"Validar lista de usuários com sucesso","133","deveListarUsuarios()","","2026-09-20","passed","2026-09-20","","UserTest","UserTest","deveListarUsuarios"
