"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","155","deveListarProdutos()","","2026-09-17","passed","2026-09-17","","ProdutosTest","ProdutosTest","deveListarProdutos"
"Validar dados de usuário com sucesso","232","deveListarUsuarios()","","2026-09-17","passed","2026-09-17","","UserIdTest","UserIdTest","deveListarUsuarios"
"Validar criação de usuário com sucesso","144","deveCriarUsuarioComSucesso()","","2026-09-17","passed","2026-09-17","","StringTest","StringTest","deveCriarUsuarioComSucesso"
"Validar lista de usuários com sucesso","202","deveListarUsuarios()","","2026-09-17","passed","2026-09-17","","UserTest","UserTest","deveListarUsuarios"
"Validar criação de usuário com sucesso","1813","deveCriarUsuarioComSucesso()","","2026-09-17","passed","2026-09-17","","BeforeCriarUsuarioTest","BeforeCriarUsuarioTest","deveCriarUsuarioComSucesso"
"Validar login de usuário com sucesso","304","deveRealizarLoginComSucesso()","","2026-09-17","passed","2026-09-17","","login.LoginTest","login.LoginTest","deveRealizarLoginComSucesso"
"Validar atualização de dados do usuário com sucesso","446","deveAtualizarUsuarioComSucesso()","","2026-09-17","passed","2026-09-17","","usuarios.UpdateTest","usuarios.UpdateTest","deveAtualizarUsuarioComSucesso"
"Validar deleção de usuário com sucesso","315","deveExcluirUsuarioComSucesso()","","2026-09-17","passed","2026-09-17","","usuarios.DeleteTest","usuarios.DeleteTest","deveExcluirUsuarioComSucesso"
"Validar criação de usuário com sucesso","150","deveCriarUsuarioComSucesso()","","2026-09-17","passed","2026-09-17","","usuarios.ModelCriarUsuarioTest","usuarios.ModelCriarUsuarioTest","deveCriarUsuarioComSucesso"
"Validar criação de usuário com sucesso","184","deveCriarUsuarioComSucesso()","","2026-09-17","passed","2026-09-17","","CriarUsuarioMapTest","CriarUsuarioMapTest","deveCriarUsuarioComSucesso"
